L;16;Thüringen
R;16;0;unbesetzt
K;16;0;51;Erfurt
K;16;0;52;Gera
K;16;0;53;Jena
K;16;0;54;Suhl
K;16;0;55;Weimar
K;16;0;61;Eichsfeld
K;16;0;62;Nordhausen
K;16;0;63;Wartburgkreis
K;16;0;64;Unstrut-Hainich-Kreis
K;16;0;65;Kyffhäuserkreis
K;16;0;66;Schmalkalden-Meiningen
K;16;0;67;Gotha
K;16;0;68;Sömmerda
K;16;0;69;Hildburghausen
K;16;0;70;Ilm-Kreis
K;16;0;71;Weimarer Land
K;16;0;72;Sonneberg
K;16;0;73;Saalfeld-Rudolstadt
K;16;0;74;Saale-Holzland-Kreis
K;16;0;75;Saale-Orla-Kreis
K;16;0;76;Greiz
K;16;0;77;Altenburger Land
G;16;0;51;000;Erfurt
G;16;0;52;000;Gera
G;16;0;53;000;Jena
G;16;0;54;000;Suhl
G;16;0;55;000;Weimar
G;16;0;61;001;Arenshausen
G;16;0;61;002;Asbach-Sickenberg
G;16;0;61;003;Berlingerode
G;16;0;61;007;Birkenfelde
G;16;0;61;012;Bodenrode-Westhausen
G;16;0;61;014;Bornhagen
G;16;0;61;015;Brehme
G;16;0;61;017;Breitenworbis
G;16;0;61;018;Büttstedt
G;16;0;61;019;Buhla
G;16;0;61;021;Burgwalde
G;16;0;61;023;Dieterode
G;16;0;61;024;Dietzenrode/Vatterode
G;16;0;61;026;Ecklingerode
G;16;0;61;027;Effelder
G;16;0;61;028;Eichstruth
G;16;0;61;031;Ferna
G;16;0;61;032;Freienhagen
G;16;0;61;033;Fretterode
G;16;0;61;034;Geisleden
G;16;0;61;035;Geismar
G;16;0;61;036;Gerbershausen
G;16;0;61;037;Gernrode
G;16;0;61;039;Glasehausen
G;16;0;61;041;Großbartloff
G;16;0;61;044;Haynrode
G;16;0;61;045;Heilbad Heiligenstadt
G;16;0;61;047;Heuthen
G;16;0;61;048;Hohengandern
G;16;0;61;049;Hohes Kreuz
G;16;0;61;056;Kella
G;16;0;61;057;Kirchgandern
G;16;0;61;058;Kirchworbis
G;16;0;61;062;Krombach
G;16;0;61;063;Küllstedt
G;16;0;61;065;Lenterode
G;16;0;61;066;Lindewerra
G;16;0;61;067;Lutter
G;16;0;61;068;Mackenrode
G;16;0;61;069;Marth
G;16;0;61;074;Niederorschel
G;16;0;61;075;Pfaffschwende
G;16;0;61;076;Reinholterode
G;16;0;61;077;Röhrig
G;16;0;61;078;Rohrberg
G;16;0;61;082;Rustenfelde
G;16;0;61;083;Schachtebich
G;16;0;61;084;Schönhagen
G;16;0;61;085;Schwobfeld
G;16;0;61;086;Sickerode
G;16;0;61;089;Steinbach
